abusive	abuse-01
acceptable	accept-01
aching	ache-01
accumulative	accumulate-01
accumulatively	accumulate-01
activity	act-02
administrative	administrate-01
advisory	advise-01
afraid	fear-01
alive	live-01
anti	oppose-01
anti	counter-01
anti	destroy-01
asleep	sleep-01
attractive	attract-01
aware	realize-01
beneficial	benefit-01
beloved	love-01
coercive	coerce-01
commendable	commend-01
comparative	compare-01
comparatively	compare-01
competitive	compete-01
compliant	comply-01
compulsory	compel-01
consensual	consent-01
consequently	cause-01
continual	continue-01
continuous	continue-01
contradictory	contradict-01
cooperative	cooperate-01
correspondence	correspond-01
dead	die-01
dead	kill-01
deadly	kill-01
destructive	destroy-01
detectable	detect-01
detestable	detest-01
different	differ-02
discriminatory	discriminate-02
disgraceful	disgrace-01
disputable	dispute-01
dominant	dominate-01
educational	educate-01
eligible	qualify-02
emphatically	emphasize-01
expectantly	expect-01
exploratory	explore-01
famous	fame-01
fearful	fear-01
forceful	force-01
foreseeable	foresee-01
governmental	government-organization ARG0-of( govern-01 )ARG0-of
hallucinatory	hallucinate-01
half-life	have-half-life-01
hungry	hunger-01
imaginable	imagine-01
impressive	impress-01
inducible	induce-01
inflammatory	inflame-01
inhibitory	inhibit-01
innovative	innovate-01
intentional	intend-01
intrigueing	intrigue-01
investigative	investigate-01
jobless	have-03 polarity( - )polarity ARG1( job )ARG1
joblessness	have-03 polarity( - )polarity ARG1( job )ARG1
justifiable	justify-01
kidnapping	kidnap-01
legislative	legislate-01
measurable	measure-01
metastatic	metastasize-101
meritorious	merit-01
migratory	migrate-01
observational	observe-01
operational	operate-01
painful	pain-01
painfully	pain-01
peacekeeping	keep-01 ARG1( peace )ARG1
precursory	precede-01
predictive	predict-01
preferential	prefer-01
preparatory	prepare-02
presumably	presume-02
prevalent	prevail-02
pro	favor-01
proud	pride-01
prosperous	prosper-01
protective	protect-01
provocative	provoke-01
punishable	punish-01
putative	think-01
rebellious	rebel-01
rebuttal	rebut-01
recombinant	recombine-01
regulatory	regulate-01
renewable	renew-01
repeatedly	repeat-01
repressive	repress-01
resentful	resent-01
respectful	respect-01
retaliatory	retaliate-01
rusty	rust-01
seemingly	seem-01
senseless	sense-02 polarity( - )polarity
similar	resemble-01
